customer_id,gender,givenname,surname,looking,staying_time,bought,knowing
16852,female,Iris,White,Gibson lespaul custom,00:03:13,IKEA Coffee table,
19457,male,Richard,Kowalski,Yamaha Speaker,00:05:23,Gibson lespaul custom,Franklin
19457,male,Richard,Kowalski,IKEA Coffee table,00:05:23,IKEA Chair,Franklin
19457,male,Richard,Kowalski,Desk  lamp 120,00:05:23,Gibson 335,Franklin
10414,male,Franklin,Kerry,Desk  lamp 120,01:44:33,IKEA Coffee table,Clarence
15858,female,Nola,Jensen,IKEA Desk,00:23:09,Fender Blackie,Clarence
15858,female,Nola,Jensen,Gibson 335,00:23:09,Yamaha Speaker,Clarence
12767,male,Clarence,Moose,IKEA Coffee table,00:25:55,Gibson 335,Richard
18885,male,Eddie,Davis,Gibson lespaul custom,00:01:43,Yamaha Speaker,
12442,male,Eric ,Clapton,Desk  lamp 120,00:34:10,Gibson lespaul custom,Richard
13553,male,Chalie,Parker,Gibson 335,00:03:25,IKEA Chair,
